pangram,num_words,score,outer_letters,middle_letter
bailout,27,95,ulbato,i
balanced,51,276,nldbae,c
balancing,39,223,gnliac,b
balcony,46,208,oylbac,n
balding,49,283,gnliba,d
balking,28,142,gnliba,k
balletic,62,298,liatec,b
baloney,53,193,ylbaeo,n
bamboozle,53,184,zbameo,l
banality,35,178,ylibat,n
bandito,51,243,idbato,n
bandmate,49,221,ndamte,b
bandwagon,35,125,gndbaw,o
banknote,64,227,kbateo,n
bankroll,35,117,lkbaro,n
banquet,31,137,nqbate,u
banquette,37,164,uqbate,n
baptize,20,102,zbapte,i
barbecued,55,244,dbarec,u
barefaced,44,209,dbarec,f
barefoot,56,238,barteo,f
barehanded,44,229,ndbare,h
barfing,26,129,gnibar,f
barking,22,102,gnibar,k
baronial,49,192,ilbaro,n
baroque,22,95,qbareo,u
batgirl,29,85,ilbart,g
bathing,32,172,gnibat,h
batholith,29,96,libato,h
bathroom,32,120,bamrto,h
bathwater,53,239,hartew,b
battlement,60,278,nlamte,b
battling,45,254,gnliat,b
batwing,21,130,gniatw,b
baulked,40,164,lkdbae,u
bawling,54,258,gnibaw,l
bayonet,60,230,ybateo,n
bazillion,38,160,izlbao,n
beachwear,33,141,cbarew,h
beaming,38,206,gniame,b
beanpole,57,190,lbapeo,n
beatboxer,65,276,xarteo,b
beatific,21,87,fbatec,i
beatified,34,133,idbate,f
beatitude,28,120,idbate,u
beatnik,54,221,ikbate,n
becalmed,41,192,ldbame,c
bechamel,22,79,lbamec,h
beckoned,63,274,okdbec,n
becquerel,45,174,qlbrec,u
bedfellow,35,141,oldbew,f
bedouin,29,158,nidbeo,u
bedrock,55,242,odbrec,k
beechwood,22,84,odbwec,h
beekeeping,44,266,nikbpe,g
befitting,44,293,fnibte,g
begonia,57,292,gniaeo,b
beguiled,51,265,uidlbe,g
beguiling,47,244,gnilbe,u
beholden,27,116,nldbeo,h
beholder,40,181,ldbreo,h
belatedly,40,188,ldbate,y
believably,23,98,livbae,y
believing,29,147,gnlibe,v
bellflower,44,201,olbrew,f
bellwether,26,115,lbrtew,h
bellyache,24,92,ylbaec,h
belonged,62,286,nldbeo,g
beltway,33,154,lbatew,y
belying,24,144,gnlibe,y
benching,31,176,hnibec,g
benedick,34,133,idkbec,n
benedict,60,296,idbtec,n
beneficent,24,132,nibtec,f
benefited,40,217,nidbte,f
benefiting,26,151,gnibte,f
benefitted,29,142,fnidte,b
benefitting,31,193,gfnite,b
benevolence,33,128,olvbec,n
benevolent,43,154,lvbteo,n
benignly,24,144,gnilbe,y
benjamin,33,112,jibame,n
benthic,36,164,nibtec,h
benzoate,53,197,zbateo,n
benzoic,39,147,oizbec,n
benzoyl,31,109,ylzbeo,n
bequeath,29,87,huqbte,a
betrayed,66,292,dbarte,y
betrothed,52,280,dbrteo,h
bewilder,47,232,idlbre,w
bewitch,27,101,wibtec,h
biannually,22,92,nyilba,u
biathlete,37,149,ilbate,h
bibliophile,21,93,ilbpeo,h
bickered,41,188,idbrec,k
bicycling,24,156,nyilbc,g
biennially,41,176,yilbae,n
bifocal,29,116,cilbao,f
bighead,24,108,hidbae,g
bighorn,51,300,hnibro,g
bigoted,25,122,idbteo,g
bigotry,33,99,gyibto,r
bilayer,60,295,ilbare,y
bilingual,37,190,gnilba,u
billboard,45,169,ldbaro,i
billionth,19,88,nilbto,h
billowed,57,265,ldbweo,i
billowing,53,288,gnilwo,b
biltong,56,295,gnilto,b
bimodal,30,84,ldbamo,i
binaural,37,145,nilbar,u
bindery,54,253,yidbre,n
binnacle,58,262,ilbaec,n
binomial,57,260,ilbamo,n
bioavailable,43,216,lvbaeo,i
biofuel,30,84,uilbeo,f
biogenic,46,259,onibec,g
biological,27,114,oilbac,g
biomimetic,28,146,ibmteo,c
biophilia,22,91,hlbapo,i
biotech,32,131,oibtec,h
bipartite,63,291,iaprte,b
biplane,57,247,ilbape,n
bipolar,36,126,lbapro,i
birdbath,27,122,hdbart,i
birdlike,35,142,idlbre,k
birthed,40,206,idbrte,h
birthing,44,259,hnibrt,g
bitched,27,124,idbtec,h
bitching,28,185,hnibtc,g
bitingly,32,203,nyilbt,g
bitterly,33,152,ilbrte,y
bitumen,26,113,nibmte,u
biweekly,30,91,yikbew,l
blackballed,39,179,ldbaec,k
blacked,45,231,lkdbae,c
blacken,44,173,lkbaec,n
blacker,52,218,lbarec,k
blackface,34,135,lkbaec,f
blackleg,24,99,lkbaec,g
blackmail,51,206,ikbamc,l
blanked,40,169,nldbae,k
blanket,57,246,lkbate,n
blankie,55,218,lkibae,n
blanking,45,249,gnlika,b
blaring,63,299,gnibar,l
blarney,46,193,ylbare,n
blazing,46,229,gnizba,l
bleached,44,201,ldbaec,h
bleacher,50,232,lbarec,h
bleeping,55,284,gnibpe,l
blighting,27,164,gnlibt,h
blighty,17,90,hylibt,g
blindfold,25,91,flidbo,n
blindingly,35,217,nylidb,g
blinked,58,263,likbde,n
blinker,40,156,likbre,n
blithely,37,132,hyibte,l
blitzed,55,246,izdbte,l
blitzer,50,213,izbrte,l
blitzing,28,176,nlizbt,g
blizzard,29,105,izdbar,l
blocked,58,235,ckdbeo,l
blocker,49,194,ckbreo,l
bloodbath,26,79,ldbato,h
bloodhound,19,79,huldbo,n
blooming,63,285,gnibmo,l
blotchy,21,93,cylbto,h
blotting,56,295,gnlito,b
blowback,45,144,lkbawc,o
blowgun,33,90,gnulbw,o
blowing,53,288,gnliwo,b
blowpipe,45,148,libpew,o
blucher,29,136,ulbrec,h
bluebird,62,294,lidbre,u
bluebonnet,36,136,nlbteo,u
bluefin,31,118,nulibe,f
bluejay,22,87,yljbae,u
bluffing,46,286,fnulib,g
blunder,54,296,uldbre,n
blunted,62,293,nldbte,u
blunter,60,294,ulbrte,n
blunting,43,217,gnlibt,u
blurring,50,278,gnlibr,u
boardman,53,221,dbamro,n
boatmen,56,225,namteo,b
boatyard,32,132,dbarto,y
bobblehead,41,169,ldbaeo,h
bobwhite,22,94,wibteo,h
bodywork,34,126,ydkbrw,o
bogeymen,33,110,gybmeo,n
bohemia,24,97,hiameo,b
bolding,48,248,gnlibo,d
bolivar,48,160,ivbaro,l
bolting,54,284,gnlibo,t
bondage,53,232,ndbaeo,g
bonehead,29,148,ndbaeo,h
boneheaded,60,261,hdbaeo,n
bonfire,46,212,nibreo,f
bonhomie,28,90,hibmeo,n
bookbinding,46,268,nikdbo,g
bookmaker,46,190,bamreo,k
bookmobile,32,108,lkbmeo,i
boondoggle,62,260,gldbeo,n
bootlegged,49,234,ldbteo,g
bootlegger,49,221,lbrteo,g
borrelia,65,293,lbareo,i
borrowing,41,223,gnirwo,b
botched,31,123,cdbteo,h
bottoming,45,282,nibmto,g
bouffant,28,84,fnbato,u
bounced,66,300,nudbec,o
bouncer,34,179,ncbreo,u
bouncing,30,178,nucibo,g
bounding,27,157,gnidbo,u
bourguignon,29,144,gnibro,u
boutique,18,82,qibteo,u
bouvier,18,86,uvbreo,i
bowhead,26,110,dbaweo,h
bowline,52,176,nlibew,o
bowling,31,189,gnlibo,w
boycotted,41,165,ydbtec,o
brachial,24,96,ilbarc,h
bracing,40,232,gnibar,c
bracken,51,207,kbarec,n
bracket,53,253,bartec,k
bradycardia,18,78,idbarc,y
brakeman,46,175,kbamre,n
braking,46,263,gnikar,b
bravely,51,227,lvbare,y
braving,15,101,gnibar,v
braying,31,155,gnibar,y
brazing,13,77,gnibar,z
breached,63,300,hdarec,b
breakaway,30,135,kbarew,y
breakeven,40,139,kvbare,n
breakneck,47,203,nbarec,k
breakup,31,111,kbapre,u
breakwater,39,168,bartew,k
breathy,57,273,ybarte,h
breezeway,25,107,zbarew,y
breezily,24,103,izlbre,y
breezing,44,245,gnizre,b
breviary,26,108,ivbare,y
brevity,44,225,yvbrte,i
brewing,49,263,gnirew,b
briarwood,34,135,idbarw,o
bricked,44,228,ikdrec,b
bricking,25,155,nikbrc,g
brickwork,26,90,cikbrw,o
briefing,54,296,gfnire,b
briefly,65,299,yilbre,f
brighter,43,217,hibrte,g
brilliant,35,152,ilbart,n
brioche,36,167,cibreo,h
briquette,34,167,qibrte,u
broadly,54,238,ydbaro,l
broadway,30,130,odbarw,y
brochure,32,148,ucbreo,h
brocket,42,160,cbrteo,k
broiling,60,283,gnibro,l
brokerage,50,197,kbareo,g
broking,50,287,nikbro,g
bromine,58,227,ibmreo,n
bronchi,25,112,ncibro,h
bronzed,63,272,zdbreo,n
bronzing,48,267,nizbro,g
brooding,50,253,gnibro,d
brooking,24,105,gnibro,k
brothel,47,230,lbrteo,h
brought,24,119,hubrto,g
browbeat,39,167,barteo,w
browned,63,300,ndbreo,w
brownie,53,210,nibrew,o
browning,47,250,gnibwo,r
brownout,53,188,unbrtw,o
brucella,65,285,lbarec,u
brutally,39,141,ylbart,u
buccaneer,31,134,nbarec,u
buckaroo,42,167,ukbarc,o
bucking,19,114,nuikbc,g
buckled,51,215,lkdbec,u
buckler,55,199,lkbrec,u
buckram,22,76,kbamrc,u
buggering,46,231,gnibre,u
builder,62,294,idlbre,u
building,38,230,gnildb,u
bulkier,36,137,lkibre,u
bulking,42,266,nulkib,g
bulldoze,32,148,ldzbeo,u
bulldozed,56,239,udzbeo,l
bulletin,39,168,nlibte,u
bullfrog,32,83,gflbro,u
bullhead,34,153,uldbae,h
bullheaded,46,207,hldbae,u
bullhorn,29,96,hnulro,b
bullring,48,280,gnuibr,l
bullying,37,220,nuylib,g
bumbling,43,275,nulibm,g
bumping,32,205,nuibpm,g
bunched,15,82,nudbec,h
bunching,21,123,hnuibc,g
buncombe,30,106,oubmec,n
bundling,38,230,gnlidb,u
bungled,45,216,nuldbe,g
bunkered,56,266,nkdbre,u
buoyancy,36,155,ouybac,n
buoyant,30,101,nybato,u
burbling,50,278,gnilbr,u
burdock,28,76,oudkbc,r
bureaucracy,28,118,ybarec,u
bureaucrat,51,211,bartec,u
burgeon,54,216,nubreo,g
burglary,42,173,gylbar,u
burgling,45,267,gnulir,b
burgundy,26,95,gnydbr,u
burling,45,267,gnuilr,b
burnable,63,289,ulbare,n
burping,49,287,nuibpr,g
burrowed,65,292,udbrew,o
burthen,24,114,nubrte,h
burying,36,199,nuyibr,g
butanol,32,82,nlbato,u
butcher,34,178,ubrtec,h
buttercup,51,219,bprtec,u
butterfat,46,195,ubarte,f
butthead,36,160,udbate,h
buttoned,54,292,ndbteo,u
buttoning,36,206,gnibto,u
buttonwood,22,97,ondbtw,u
butyrate,40,154,ybarte,u
butyric,22,86,yibrtc,u
cabernet,63,266,nartec,b
cabinet,64,290,ibatec,n
cableway,32,148,clbaew,y
cabling,38,238,gnliba,c
caboodle,57,257,ldbaeo,c
cackling,33,182,gnliac,k
cacophony,27,119,onyapc,h
caddying,33,182,nyidac,g
cagoule,38,146,oulaec,g
caipirinha,27,110,niaprc,h
cajoled,47,198,jdlaeo,c
calamity,28,172,liamtc,y
calculator,44,212,clarto,u
caldron,50,230,cldaro,n
calliope,79,298,oiapec,l
calorific,45,192,oliarc,f
calumet,63,259,ulatec,m
calumny,30,126,nylamc,u
calving,28,168,gnliac,v
calzone,51,193,olzaec,n
cambogia,20,80,gibamo,c
camelback,56,226,kbamec,l
camomile,60,234,ilameo,c
campagne,22,82,napmec,g
campaign,39,234,gniamc,p
campaigning,50,280,gniapc,m
campanula,23,103,ulapmc,n
camphor,38,168,capmro,h
camping,30,186,gniapm,c
campion,52,245,niapmc,o
campout,23,80,uapmto,c
candidly,35,181,yidlac,n
candour,44,202,oudarc,n
cannabinoid,44,197,nidbac,o
canoeing,48,273,gniaeo,c
canonically,58,300,oyilac,n
canonicity,19,107,oniatc,y
canonization,52,293,nizato,c
canonize,47,187,oizaec,n
capillary,45,244,ilaprc,y
capoeira,46,191,iaprec,o
cappuccino,33,142,nuiapc,o
captaincy,44,229,yiaptc,n
captaining,39,255,gniapt,c
captivate,33,178,vaptec,i
captive,19,96,iaptec,v
captivity,15,90,ivaptc,y
capuchin,21,97,nuiapc,h
caravanning,21,149,gniarc,v
carbamate,60,285,amrtec,b
carbolic,60,288,libaro,c
carbonic,51,264,onbarc,i
cardigan,41,243,gnidar,c
cardinal,42,193,idlarc,n
careful,59,248,ularec,f
caregiver,41,193,ivarec,g
careworn,63,264,narwec,o
caribou,32,140,uibarc,o
caricature,46,248,iartec,u
carillon,56,261,ncilao,r
carjacked,18,91,kdarec,j
carnival,33,164,ilvarc,n
carnivora,41,175,nivarc,o
carotid,49,231,oiartc,d
carping,43,246,gniarc,p
carrefour,38,160,ucareo,f
carrying,28,136,gniarc,y
carryout,30,151,oyartc,u
carryover,37,152,yvareo,c
cartload,52,201,cdarto,l
cartoony,39,199,onartc,y
carving,32,197,gnivar,c
catabolic,57,277,libato,c
catalyze,18,83,lzatec,y
catamount,31,160,onamtc,u
catbird,51,269,dbartc,i
catchment,53,300,hnamte,c
catechol,69,294,hlatec,o
catenary,51,272,nartec,y
catfight,28,112,gfiatc,h
cathode,53,217,hdatec,o
cathodic,34,129,oidatc,h
catholic,51,210,oliatc,h
catlike,55,240,lkatec,i
cattleman,49,247,nlamte,c
caudillo,38,138,uidlac,o
caulked,46,203,lkdaec,u
caulker,41,163,lkarec,u
cautery,37,177,yartec,u
ceilinged,39,258,gnilde,c
celerity,34,174,lirtec,y
celibacy,30,149,libaec,y
celibate,50,284,libate,c
cellphone,35,156,nclpeo,h
celluloid,38,189,olidec,u
cementing,32,205,nimtec,g
centipede,46,281,nidpte,c
centricity,28,164,nirtec,y
centrum,53,279,umrtec,n
century,47,239,nyrtec,u
cephalic,42,169,liapec,h
cerebellum,63,282,lbmrec,u
ceremony,43,201,oymrec,n
certify,42,200,yirtec,f
cerulean,56,276,nlarec,u
chaebol,41,174,clbaeo,h
chaffing,39,230,fhniac,g
chafing,15,98,ghniac,f
chained,48,239,nidaec,h
chairman,26,115,niamrc,h
chalked,45,190,lkdaec,h
challenge,32,131,hnlaec,g
chamber,41,199,bamrec,h
chambray,18,85,hbamrc,y
chambre,44,205,hamrec,b
chamfer,30,130,hamrec,f
chancery,43,217,nyarec,h
changed,30,130,hndaec,g
changer,56,271,hnarec,g
channeled,49,260,nldaec,h
chantry,26,112,nyartc,h
chapbook,38,130,hkbapc,o
chaplain,28,125,nliapc,h
chaplet,66,287,laptec,h
chariot,55,251,ciarto,h
charity,40,166,yiartc,h
charlatan,27,112,nlartc,h
charley,48,212,ylarec,h
charnel,51,243,nlarec,h
chateaux,31,133,xuatec,h
chatroom,48,227,camrto,h
chauffer,30,137,huarec,f
chauffeur,32,164,fuarec,h
cheapened,37,186,ndapec,h
cheaply,30,108,ylapec,h
checkbox,24,79,hxkbec,o
checking,29,154,hnikec,g
checkmark,44,199,kamrec,h
checkmate,42,164,kamtec,h
checkout,28,104,ouktec,h
cheekbone,24,98,nckbeo,h
cheekily,23,100,yiklec,h
cheerful,38,162,hulrec,f
cheerily,38,190,yilrec,h
cheering,39,205,gnirec,h
chemical,30,110,ilamec,h
chequered,17,96,uqdrec,h
cherubic,25,133,uibrec,h
chervil,34,162,ilvrec,h
cheviot,29,121,civteo,h
chevron,28,133,ncvreo,h
chewable,26,91,lbawec,h
chewing,29,168,hniwec,g
chickadee,38,151,ikdaec,h
chickened,28,129,nikdec,h
chickpea,28,104,ikapec,h
chickweed,22,91,ikdwec,h
chiefly,18,79,fyilec,h
childlike,32,143,idlkec,h
chillingly,25,173,hnyilc,g
chimaera,57,278,iamrec,h
chimera,58,271,hamrec,i
chimichanga,28,162,gniamc,h
chimney,25,109,hyimec,n
chintzy,24,84,hnyztc,i
chirped,38,213,idprec,h
chirping,32,189,hniprc,g
chivalric,36,168,hivarc,l
chlorophyll,17,82,holprc,y
chocking,36,236,honikc,g
chocolaty,41,172,oylatc,h
choirboy,20,89,hyibrc,o
choirgirl,25,105,ghilro,c
chokehold,39,156,olkdec,h
choking,32,171,gonikc,h
choleric,52,252,olirec,h
choline,41,216,onilec,h
chomped,31,130,odpmec,h
chopping,44,260,honipc,g
chordal,35,152,oldarc,h
chortle,61,294,olrtec,h
chowder,41,196,ocdrew,h
chowing,37,222,honciw,g
chromed,42,207,odmrec,h
chromium,24,111,ouimrc,h
chromophore,43,207,opmrec,h
chubbier,22,107,hibrec,u
chucking,25,150,hnuikc,g
chuckled,25,115,ulkdec,h
chunder,30,191,undrec,h
chunked,18,105,unkdec,h
chunking,25,150,hunikc,g
churchgoer,29,107,hucreo,g
churchman,20,98,nuamrc,h
churchmen,24,137,numrec,h
churchyard,18,87,uydarc,h
churned,46,275,hudrec,n
churning,34,203,hunirc,g
chutney,18,79,nuytec,h
cigarette,59,294,iartec,g
cinephile,28,131,nilpec,h
circuiting,44,276,nuirtc,g
circularly,29,169,yilarc,u
citywide,22,116,yidtew,c
civilized,49,224,lzvdec,i
civilizing,17,111,nizvlc,g
cladding,37,187,gnliac,d
claimant,53,270,nliatc,m
clambake,27,104,lbamec,k
clamour,29,129,olamrc,u
clamped,62,279,ldapec,m
clanger,59,299,gnlare,c
clapping,48,262,gnliac,p
clarify,33,156,yliarc,f
clarion,56,261,ncliao,r
clawing,33,196,gnliaw,c
cleanup,46,186,ulapec,n
clementine,54,281,nimtec,l
clenching,41,258,hnliec,g
clickable,42,213,lkbaec,i
clifftop,55,177,fliptc,o
climatically,56,289,ylamtc,i
climbable,55,276,liamec,b
climbed,54,240,idbmec,l
climber,44,176,ibmrec,l
climbing,24,162,nlibmc,g
clinched,38,183,nlidec,h
clincher,44,211,nlirec,h
clinger,39,251,gnlire,c
clinked,56,265,likdec,n
clinker,45,202,likrec,n
cloaked,42,186,oldaec,k
cloakroom,50,180,lkamro,c
clocking,53,284,gnliko,c
clothed,42,168,oldtec,h
clotting,50,294,gnlito,c
clowned,59,289,ocldew,n
clowning,38,216,gonliw,c
cloying,43,244,gnylio,c
clubbing,37,232,nulibc,g
clubfoot,37,88,fulbtc,o
clubland,26,78,nldbac,u
clubman,28,89,nlbamc,u
clubroom,31,94,ulbmrc,o
clucking,40,276,nulkic,g
clumped,61,278,ldpmec,u
clunker,26,114,ulkrec,n
clunking,40,276,unlkic,g
clutched,26,105,uldtec,h
coachable,41,174,olbaec,h
coaching,47,266,honiac,g
coachmen,29,144,onamec,h
